stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
2856,HWTV#791,HAWTHORNE AV@79 ST,,25.863961,-80.1284,,,,
2857,HWTV#802,HAWTHORNE AV@80 ST,,25.866055,-80.128464,,,,
2858,HWTV#822,HAWTHORNE AV@82 ST,,25.867569,-80.128511,,,,
2859,HWRN#832,HAWTHORN@83 ST,,25.868384,-80.128543,,,,
2860,HWTVSTI3,HAWTHORNE AV@STILLWATER DR,,25.868952,-80.128718,,,,
2862,HWTV#813,HAWTHORNE AV@81 ST,,25.866807,-80.128656,,,,
2864,SPTDWAS5,SOUTH POINTE DR@WASHINGTON AV,,25.768128,-80.135915,,,,
2870,5STRMER4,5 ST@MERIDIAN AV,,25.77473,-80.136378,,,,
2871,5STRMIC8,5 ST@MICHIGAN AV,,25.774563,-80.138631,,,,
2872,MCRWTRM7,MAC ARTHUR CY@TERMINAL ISLE,,25.772085,-80.149,,,,
2873,MCRWBRI2,MAC ARTHUR CY@BRIDGE RD,,25.772784,-80.15242,,,,
2874,MCRWFOU2,MAC ARTHUR CY@FOUNTAIN ST,,25.777932,-80.16442,,,,
2875,MCRWFTS3,MAC ARTHUR CY@OP FOUNTAIN ST,,25.777484,-80.164429,,,,
2876,MCRWBRI3,MAC ARTHUR CY@BRIDGE RD,,25.772447,-80.152636,,,,
2877,MCRWTRM6,MAC ARTHUR CY@TERMINAL ISLE,,25.771744,-80.149088,,,,
2878,5STRMIC6,5 ST@MICHIGAN AV,,25.774211,-80.137968,,,,
2879,5STRMER6,5 ST@MERIDIAN AV,,25.774333,-80.1357,,,,
2881,17STWAS8,17 ST@WASHINGTON AV,,25.79237,-80.132964,,,,
2882,17STCON7,17 ST@CONVENTION CENTER DR,,25.792217,-80.134469,,,,
2883,17STMER7,17 ST@MERIDIAN AV,,25.792185,-80.136336,,,,
2884,17STMER8,17 ST@MERIDIAN AV,,25.792241,-80.13696,,,,
2885,17STMIC7,17 ST@MICHIGAN AV,,25.792225,-80.138737,,,,
2886,N17SLNX7,17 ST@LENOX AV,,25.792169,-80.139864,,,,
2887,17STMIC5,17 ST@MICHIGAN AV,,25.792002,-80.139002,,,,
2888,17STJEF6,17 ST@JEFFERSON AV,,25.792058,-80.137384,,,,
2889,17STMER6,17 ST@MERIDIAN AV,,25.792114,-80.135873,,,,
2890,17STPEN5,17 ST@PENNSYLVANIA AV,,25.792107,-80.134476,,,,
2891,17STWAS5,17 ST@WASHINGTON AV,,25.792158,-80.132524,,,,
2892,DADB#234,DADE BD@23 ST,,25.798988,-80.131198,,,,
2893,DADBMIC4,DADE BD@MICHIGAN AV,,25.794194,-80.139995,,,,
2895,DADBPUR3,DADE BD@PURDY AV,,25.791925,-80.144125,,,,
2896,DADBPUR6,DADE BD@PURDY AV,,25.791556,-80.144535,,,,
2897,VNTWISL8,VENETIAN WY@E ISLAND AV,,25.791522,-80.147779,,,,
2898,VNTWCEN8,VENETIAN WY@CENTURY LA,,25.79144,-80.149425,,,,
2899,VNTWRAD8,VENETIAN WY@E RIVO ALTO DR,,25.791208,-80.155081,,,,
2900,VNTWDID7,VENETIAN WY@W DILIDO DR,,25.790987,-80.159312,,,,
2901,VNTWSMD8,VENETIAN WY@E SAN MARINO DR,,25.790806,-80.162775,,,,
2902,VNTWSMD5,VENETIAN WY@E SAN MARINO DR,,25.790664,-80.162722,,,,
2903,VNTWDIL5,VENETIAN WY@E DILIDO DR,,25.790854,-80.158719,,,,
2904,VNTWRAD5,VENETIAN WY@E RIVO ALTO DR,,25.791041,-80.154735,,,,
2905,VNTWISD5,VENETIAN WY@W ISLAND AV,,25.791299,-80.149377,,,,
2906,VNTWISL5,VENETIAN WY@E ISLAND AV,,25.791342,-80.147616,,,,
2907,20STBYR6,20 ST@BAY RD,,25.795459,-80.143498,,,,
2908,41STPIN8,41 ST@PINE TREE DR,,25.813849,-80.126919,,,,
2909,41STSHE8,41 ST@SHERIDAN AV,,25.813911,-80.128387,,,,
2910,41STPRA8,41 ST@PRAIRIE AV,,25.813948,-80.131164,,,,
2911,41STPRA5,41 ST@PRAIRIE AV,,25.813756,-80.131071,,,,
2912,41STSHE6,41 ST@SHERIDAN AV,,25.813665,-80.127076,,,,
2913,41STPIN6,41 ST@PINETREE DR,,25.813533,-80.125891,,,,
2914,47STMIC6,47 ST@MICHIGAN AV,,25.822357,-80.133492,,,,
2915,47STMIC7,47 ST@MICHIGAN AV,,25.822426,-80.133346,,,,
2916,63STALD7,63 ST@ALLISON DR,,25.844235,-80.123864,,,,
2917,63STLGD8,63 ST@LA GORCE DR,,25.843867,-80.126365,,,,
2918,63STPIN5,63 ST@PINETREE DR,,25.843705,-80.126071,,,,
2919,63STALR6,63 ST@ALLISON RD,,25.844083,-80.123548,,,,
2920,63STIND6,63 ST@INDIAN CREEK DR,,25.844461,-80.12112,,,,
2921,71STBIA6,71 ST@BIARRITZ DR,,25.851194,-80.14146,,,,
2922,71STRGR6,71 ST@RUE GRANVILLE,,25.85126,-80.139735,,,,
2923,71STTRO6,71 ST@TROUVILLE ESPLANADE,,25.851591,-80.136969,,,,
2924,71STRBX6,71 ST@RUE BORDEAUX,,25.852855,-80.134717,,,,
2925,71STRND6,71 ST@RUE NOTRE DAME,,25.854298,-80.132091,,,,
2926,71STRVS6,71 ST@RUE VERSAILLES,,25.85487,-80.129293,,,,
2927,71STBYD6,71 ST@BAY DR,,25.855828,-80.127428,,,,
2928,71STIND6,71 ST@INDIAN CREEK DR,,25.855932,-80.124552,,,,
2929,71STABT5,71 ST@ABBOTT AV,,25.855997,-80.12255,,,,
2930,71STBYR8,71 ST@BYRON AV,,25.856111,-80.12354,,,,
2931,71STDIC7,71 ST@DICKENS AV,,25.856089,-80.124606,,,,
2932,NRDDBYD8,NORMANDY DR@BAY DR,,25.855953,-80.128373,,,,
2933,NRDDRVS7,NORMANDY DR@RUE VERSAILLES,,25.855843,-80.129543,,,,
2934,NRDDRND8,NORMANDY DR@RUE NOTRE DAME,,25.855091,-80.133133,,,,
2935,NRDDRBX8,NORMANDY DR@RUE BORDEAUX,,25.853396,-80.135854,,,,
2936,NRDDTRO8,NORMANDY DR@TROUVILLE ESPLANADE,,25.852433,-80.138075,,,,
2937,NRDDRGR8,NORMANDY DR@RUE GRANVILLE,,25.852331,-80.140351,,,,
2938,NRDDBYR7,NORMANDY DR@W BAY RD,,25.851379,-80.143295,,,,
2940,73STBYR6,73 ST@BYRON AV,,25.858241,-80.123488,,,,
2941,73STHAR7,73 ST@HARDING AV,,25.858494,-80.121479,,,,
2942,77STCOL8,77 ST@COLLINS AV,,25.862294,-80.121509,,,,
2943,77STABT7,77 ST@ABBOTT AV,,25.862321,-80.122802,,,,
2944,77STCAR7,77 ST@CARLYLE AV,,25.862183,-80.124514,,,,
2945,77STDIC8,77 ST@DICKENS AV,,25.862115,-80.125715,,,,
2946,77STTAT7,77 ST@TATUM WATERWAY DR,,25.862056,-80.127047,,,,
2947,77STTAT6,77 ST@TATUM WATERWAY DR,,25.861967,-80.12615,,,,
2948,77STCAR6,77 ST@CARLYLE AV,,25.862049,-80.124342,,,,
2949,77STABT6,77 ST@ABBOTT AV,,25.862109,-80.122721,,,,
2950,N85SHAW6,85 ST@HAWTHORNE AV,,25.869683,-80.127193,,,,
2951,85STCRE5,85 ST@CRESPI BD,,25.869733,-80.125367,,,,
2952,85STHAR5,85 ST@HARDING AV,,25.869867,-80.122674,,,,
2954,85STCRE8,85 ST@CRESPI BLVD,,25.869877,-80.125508,,,,
2955,MTSHGUM7,MT SINAI HOSPITAL@GUMENICK BLDG,,25.811997,-80.140529,,,,
2957,US#1HIB3,US 1@HIBISCUS ST,,25.604637,-80.351529,,,,
2958,US#11864,US 1@SW 186 ST,,25.595469,-80.355806,,,,
2959,US#11873,US 1@AT 18750,,25.59342,-80.356822,,,,
2960,US#11884,US 1@SW # 18860,,25.590967,-80.358296,,,,
2961,US#1MAR3,US 1@MARLIN RD,,25.589403,-80.35948,,,,
2962,US#1O194,US 1@OP SW # 19405,,25.587915,-80.360896,,,,
2963,US#1BEL4,US 1@BELVIEW DR,,25.585002,-80.363721,,,,
2964,US#12164,US 1@SW 216 ST,,25.565769,-80.382291,,,,
2965,US#12183,US 1@APPROX # 21811,,25.564263,-80.383771,,,,
2966,US#12204,US 1@SW 220 ST,,25.562051,-80.386015,,,,
2967,US#12244,US 1@SW 224 ST,,25.55852,-80.389336,,,,
2968,US#12284,US 1@SW 228 ST,,25.554951,-80.39289,,,,
2969,US#12303,US 1@SW 230 ST,,25.553748,-80.394085,,,,
2970,US#12324,US 1@SW 232 ST,,25.550826,-80.397025,,,,
2971,US#12343,US 1@OP # 23455,,25.54877,-80.399122,,,,
2972,US#11294,US 1@SW 129 AV,,25.547014,-80.400861,,,,
2973,US#12384,US 1@SW 238 ST,,25.545455,-80.402389,,,,
2974,US#11323,US1@SW 132 AV,,25.54336,-80.404417,,,,
2975,US#11344,US 1@SW 134 AV,,25.538396,-80.40928,,,,
2976,US#12484,US 1@SW 248 ST,,25.535746,-80.411891,,,,
2977,US#11394,US 1@SW 139 AV,,25.530318,-80.417178,,,,
2978,US#12603,US 1@SW 260 ST,,25.525517,-80.421859,,,,
2979,US#12643,US 1@SW 264 ST,,25.522131,-80.424387,,,,
2981,US#12684,US 1@SW 268 ST,,25.51763,-80.428595,,,,
2982,US#11454,US 1@SW 145 AV,,25.515212,-80.430932,,,,
2983,US#12723,US 1@SW 272 ST,,25.513708,-80.432382,,,,
3005,US#12721,US 1@SW 272 ST,,25.513197,-80.432513,,,,
3006,US#11452,US 1@SW 145 AV,,25.51545,-80.430325,,,,
3007,US#12681,US 1@SW 268 ST,,25.51739,-80.428425,,,,
3009,US#12642,US 1@SW 264 ST,,25.521979,-80.424165,,,,
